排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
27,阿里概念,BK0689,3343.43,119.83,3.72,5609924096000,7.56,122,36,三维通信,9.99
28,数字货币,BK0883,2400.0,85.89,3.71,1307128080000,7.13,74,8,拉卡拉,20.01
29,抖音概念(字节概念),BK0923,1853.89,66.12,3.7,2091516048000,15.63,73,15,三维通信,9.99
30,数据要素,BK1135,1510.39,52.07,3.57,2514839200000,9.13,139,18,云鼎科技,10.02
31,小红书概念,BK1187,1598.7,54.1,3.5,755582160000,13.89,58,15,三维通信,9.99
32,网络安全,BK0655,5664.28,190.24,3.48,5181139968000,6.37,119,11,云鼎科技,10.02
33,信创,BK1104,2366.07,79.53,3.48,4868901376000,10.65,216,28,通达海,20.0
34,云计算,BK0579,4155.73,138.01,3.44,10516944384000,6.46,199,31,石基信息,9.97
35,知识产权,BK0839,2426.92,79.46,3.38,452318896000,11.61,37,6,人民网,10.01
36,国产软件,BK0696,4437.65,145.2,3.38,4065299776000,11.39,203,34,石基信息,9.97
37,昨日涨停,BK0815,27708.06,889.57,3.32,965389504000,16.91,45,22,三变科技,10.01
38,第四代半导体,BK1121,2367.62,75.6,3.3,188546447000,6.16,5,0,东微半导,5.68
39,跨境支付,BK1071,2021.54,63.33,3.23,13472814592000,0.7,45,18,石基信息,9.97
40,数据安全,BK1047,1345.16,41.55,3.19,1365436544000,6.41,71,12,大唐电信,10.01
41,电子身份证,BK1075,1489.06,45.97,3.19,429921312000,8.78,35,4,拓尔思,15.22
42,百度概念,BK0845,2179.21,67.14,3.18,3809330016000,10.13,118,30,利欧股份,9.97
43,东数西算,BK1064,2036.14,61.43,3.11,1427131008000,6.56,55,10,大位科技,10.01
44,多模态AI,BK1153,1645.68,49.2,3.08,1290592624000,15.19,50,12,云鼎科技,10.02
45,大数据,BK0634,6647.48,197.11,3.06,6973250048000,8.17,243,52,石基信息,9.97
46,数字水印,BK1129,1313.02,38.31,3.01,140714897000,11.48,16,2,大胜达,10.02
47,数字经济,BK1061,1627.75,46.85,2.96,2332037584000,8.24,151,32,光云科技,20.0
48,移动支付,BK0556,15446.94,442.81,2.95,3318277824000,4.85,52,14,石基信息,9.97
49,DeepSeek概念,BK1188,1605.66,45.67,2.93,4826487808000,9.84,196,48,用友网络,10.01
50,彩票概念,BK0671,3268.21,91.99,2.9,230769298000,6.95,15,5,人民网,10.01
51,区块链,BK0830,1387.85,38.25,2.83,10484865024000,3.53,185,42,三维通信,9.99
52,虚拟数字人,BK1055,1667.84,45.34,2.79,3702874352000,12.51,65,18,三维通信,9.99
53,量子科技,BK0710,3891.6,104.77,2.77,1818515376000,5.08,42,9,光迅科技,10.0
54,蚂蚁概念,BK0937,947.67,25.29,2.74,6501008128000,2.16,39,20,人民网,10.01
55,智能电视,BK0656,1510.35,39.63,2.69,346955840000,8.51,10,2,兆驰股份,10.05
56,鸿蒙概念,BK0953,1908.16,47.92,2.58,2802688752000,9.82,104,19,拉卡拉,20.01
57,数字哨兵,BK1084,1861.59,44.65,2.46,104000623000,6.68,11,1,捷顺科技,9.99
58,算力概念,BK1134,2047.01,48.34,2.42,10208072960000,4.35,138,34,人民网,10.01
59,IPv6,BK0897,1614.26,38.04,2.41,677338848000,3.75,9,4,大唐电信,10.01
60,NFT概念,BK0997,2105.81,48.89,2.38,761922000000,10.09,47,8,安妮股份,9.97
61,生物识别,BK0970,1984.95,45.06,2.32,1232148128000,7.47,39,12,捷顺科技,9.99
62,可燃冰,BK0818,1741.32,39.03,2.29,250949913000,2.81,7,2,鲁阳节能,6.77
63,油气设服,BK0606,2422.57,54.19,2.29,2110170848000,3.93,34,14,常宝股份,9.99
64,广电,BK0904,2047.34,45.5,2.27,304551472000,10.81,22,5,流金科技,29.98
65,AIPC,BK1164,2421.75,53.71,2.27,1708878848000,10.2,33,12,翰博高新,20.01
66,AI芯片,BK1127,1927.34,42.65,2.26,2783707168000,12.1,30,7,禾盛新材,10.0
67,边缘计算,BK0860,2528.27,55.34,2.24,3535821120000,4.66,98,28,大位科技,10.01
68,Chiplet概念,BK1101,2362.42,51.4,2.22,1246769536000,5.99,24,5,天承科技,14.28
69,数据中心,BK0922,2308.08,50.04,2.22,8960520704000,5.31,195,54,云鼎科技,10.02
70,互联医疗,BK0837,1269.34,27.44,2.21,5041528064000,6.52,68,29,新里程,10.0
71,人工智能,BK0800,2149.38,45.91,2.18,15368506368000,7.06,499,172,三维通信,9.99
72,时空大数据,BK1130,1990.47,42.51,2.18,466545360000,12.57,20,7,华胜天成,10.01
73,在线教育,BK0662,2566.11,54.32,2.16,1840861664000,11.34,96,19,人民网,10.01
74,F5G概念,BK1088,4097.83,85.69,2.14,1305299952000,3.02,21,3,光迅科技,10.0
75,VPN,BK0885,1409.68,29.5,2.14,401019168000,8.89,18,1,南兴股份,5.64
76,短剧互动游戏,BK1151,1637.17,33.86,2.11,705079248000,16.52,26,7,浙文互联,10.04
77,职业教育,BK1022,1609.05,33.31,2.11,738393296000,11.18,53,15,外服控股,10.04
78,元宇宙概念,BK1009,2728.49,55.96,2.09,4962349568000,8.46,110,33,浙文互联,10.04
79,数字阅读,BK0959,1801.85,36.86,2.09,217655491000,5.62,16,2,南方传媒,7.97
80,网络游戏,BK0509,16581.95,337.97,2.08,1442232848000,11.25,52,15,人民网,10.01
81,电子车牌,BK0982,1721.04,34.34,2.04,192778969000,10.5,14,3,易华录,11.96
82,电子纸概念,BK1057,1215.52,24.15,2.03,383254320000,5.9,11,2,秋田微,6.4
83,星闪概念,BK1149,1614.13,32.03,2.02,649497536000,7.5,32,5,雷神科技,12.1
84,智慧城市,BK0628,6678.86,130.63,1.99,3039698240000,7.08,170,47,海格通信,10.0
85,玻璃基板,BK1175,1970.49,38.36,1.99,664549872000,5.19,28,5,天承科技,14.28
86,AI眼镜,BK1178,2315.58,44.38,1.95,3271327264000,6.24,89,26,力鼎光电,10.01
87,EDR概念,BK1049,1922.1,35.59,1.89,363621136000,6.7,13,1,协创数据,3.65
88,PCB,BK0877,2873.53,53.12,1.88,2827769248000,5.23,98,26,兆驰股份,10.05
89,华为概念,BK0854,4649.23,84.33,1.85,17854665728000,6.33,524,215,德邦股份,9.97
90,ETC,BK0875,2146.48,38.55,1.83,461029168000,6.57,29,14,勘设股份,9.98
91,网红经济,BK0940,870.37,15.52,1.82,2013507264000,8.25,89,39,利欧股份,9.97
92,气溶胶检测,BK1065,1761.9,31.33,1.81,213109441000,4.9,7,2,皖仪科技,4.49
93,数字孪生,BK0861,1903.3,33.62,1.8,1172517472000,4.63,63,21,直真科技,9.99
94,超清视频,BK0859,2397.0,42.04,1.79,2893402240000,5.89,74,22,新华网,10.0
95,CPO概念,BK1128,5203.52,91.42,1.79,3010848192000,5.76,35,11,光迅科技,10.0
96,抖音小店,BK0928,1464.68,25.36,1.76,271524848000,3.68,18,10,美年健康,9.99
97,商汤概念,BK0942,1302.09,22.53,1.76,586003536000,6.48,14,0,TCL科技,4.2
98,谷子经济,BK1183,1335.48,22.99,1.75,713439024000,9.48,55,17,雷神科技,12.1
99,空间计算,BK1143,1603.53,27.55,1.75,169462206000,7.24,17,6,宏景科技,20.0
100,物联网,BK0554,19081.25,327.1,1.74,10607296000000,5.94,275,97,云鼎科技,10.02
101,电子竞技,BK0853,1726.46,29.19,1.72,3077192736000,5.9,24,10,浙文互联,10.04
102,车联网(车路云),BK0920,1815.28,29.47,1.65,6723183104000,5.3,147,70,大唐电信,10.01
103,盲盒经济,BK0954,1589.93,25.88,1.65,154617278000,10.06,12,0,中文在线,4.43
104,虚拟现实,BK0722,1446.87,23.42,1.65,4406388224000,7.72,157,58,翰博高新,20.01
105,社保重仓,BK0520,14204.51,228.84,1.64,300410656000,2.56,12,9,诺思格,19.25
106,娃哈哈概念,BK1165,1737.24,27.73,1.62,145934860000,3.81,12,7,嘉美包装,10.03
107,跨境电商,BK1115,1806.13,28.88,1.62,1894807808000,6.35,101,56,德邦股份,9.97
108,托育服务,BK1074,969.31,15.14,1.59,40117694000,6.37,5,2,华媒控股,4.2
109,页岩气,BK0603,2956.16,45.74,1.57,2996228272000,1.09,16,15,常宝股份,9.99
110,工业互联,BK0832,2940.62,45.36,1.57,5991250176000,6.05,131,67,云鼎科技,10.02
111,毫米波概念,BK1124,2443.74,37.04,1.54,1041863584000,10.28,26,21,流金科技,29.98
112,2025三季报预减,BK1199,1332.9,20.12,1.53,71068993000,5.73,6,2,奥来德,5.6
113,影视概念,BK0847,1173.56,17.65,1.53,738559696000,8.2,45,20,流金科技,29.98
114,6G概念,BK0964,2549.23,38.06,1.52,3163106688000,11.33,25,12,三维通信,9.99
115,北交所概念,BK0925,2163.95,31.88,1.5,353622736000,4.52,12,13,华邦健康,10.1
116,百元股,BK1059,875.14,12.86,1.49,20481002240000,3.99,129,85,江顺科技,10.0
117,OLED,BK0840,3586.13,52.09,1.47,3202400960000,5.54,93,33,翰博高新,20.01
118,首发经济,BK1186,1254.75,18.03,1.46,431759936000,10.62,28,13,天下秀,10.02
119,5G概念,BK0714,1941.63,27.69,1.45,12199069440000,5.17,220,98,三维通信,9.99
120,MiniLED,BK0902,2321.21,32.72,1.43,1282901472000,5.82,43,19,翰博高新,20.01
121,钙钛矿电池,BK1094,1049.51,14.79,1.43,731207888000,5.86,21,15,拓日新能,9.94
122,液冷概念,BK1138,1907.28,26.7,1.42,5383778304000,5.24,82,39,长缆科技,10.02
123,国产芯片,BK0891,4691.38,64.61,1.4,14378032640000,6.59,252,120,大唐电信,10.01
124,英伟达概念,BK1161,2058.14,28.22,1.39,2927092496000,5.61,44,14,晶丰明源,13.18
125,创业成份,BK0638,2512.86,34.32,1.38,9230877184000,6.44,68,32,润泽科技,12.6
126,光刻机(胶),BK0884,4138.16,56.41,1.38,1774415600000,7.44,70,26,七彩化学,20.01
127,独角兽,BK0835,2379.34,31.96,1.36,5391716608000,5.33,61,40,新 华 都,10.01
128,增强现实,BK0801,1607.79,20.97,1.32,922942784000,6.63,34,11,腾景科技,8.78
129,氮化镓,BK0916,1870.04,24.23,1.31,1338103216000,6.41,34,13,兆驰股份,10.05
130,互联金融,BK0637,5967.82,76.75,1.3,21906206720000,1.32,100,91,用友网络,10.01
131,小米概念,BK0833,2502.52,31.62,1.28,4429807360000,6.28,142,77,利欧股份,9.97
132,植物照明,BK1007,1219.75,15.41,1.28,187875098000,4.34,13,4,英飞特,7.31
133,混合现实,BK1141,1821.14,22.96,1.28,1365019216000,5.85,17,13,天娱数科,9.82
134,MicroLED,BK0948,1291.03,16.17,1.27,564706688000,5.98,19,6,联赢激光,7.06
135,全息技术,BK0699,3405.63,42.27,1.26,244198970000,4.96,10,1,丝路视觉,3.03
136,无线耳机,BK0893,2495.59,31.05,1.26,3049397968000,6.37,60,21,华胜天成,10.01
137,创业板综,BK0742,2099.72,25.94,1.25,19015880448000,8.54,821,502,凯淳股份,20.0
138,AI手机,BK1162,2012.41,24.83,1.25,1095793776000,5.69,25,7,佰维存储,7.77
139,智能穿戴,BK0641,4050.51,49.97,1.25,3647185360000,5.65,83,38,大唐电信,10.01
140,海南自贸,BK1193,1198.56,14.4,1.22,1364099840000,4.75,44,38,新 华 都,10.01
141,新型工业化,BK1150,1656.26,19.95,1.22,2759146672000,5.61,60,35,用友网络,10.01
142,换电概念,BK0985,1817.57,21.84,1.22,906106512000,3.43,30,12,勘设股份,9.98
143,光通信模块,BK1136,2578.39,30.84,1.21,2722111440000,7.53,45,22,光迅科技,10.0
144,虚拟电厂,BK0958,2409.68,28.63,1.2,857995680000,4.71,35,27,安靠智电,8.28
145,EDA概念,BK0946,1649.26,19.43,1.19,295949168000,4.78,8,3,赛微电子,5.21
146,黄金概念,BK0547,20506.89,240.5,1.19,3559721648000,4.67,42,23,南矿集团,10.02
147,AI制药（医疗）,BK1170,1679.37,19.6,1.18,724175424000,14.39,23,28,美年健康,9.99
148,国家安防,BK0667,3974.36,45.93,1.17,2003803472000,6.58,79,34,实达集团,10.0
149,湖北自贸,BK0926,2283.67,26.25,1.16,567344672000,5.86,14,13,东湖高新,10.05
150,食品安全,BK0614,8295.12,92.76,1.13,489501648000,4.68,30,19,石基信息,9.97
151,屏下摄像,BK0947,1061.23,11.89,1.13,563575088000,5.97,8,1,TCL科技,4.2
152,华为海思,BK1180,1952.76,21.47,1.11,1029729504000,5.4,30,10,卓易信息,9.92
153,电商概念,BK0665,2552.28,27.72,1.1,6728244224000,4.64,185,147,石基信息,9.97
154,机器视觉,BK0998,2164.4,23.64,1.1,924424368000,7.02,54,28,海天瑞声,11.3
155,股权激励,BK0567,4009.08,43.07,1.09,5754937856000,4.97,123,81,人民网,10.01
156,半导体概念,BK0917,2400.15,25.62,1.08,14361221632000,5.45,291,157,常宝股份,9.99
157,富士康,BK0842,2756.26,29.44,1.08,972183280000,6.6,24,14,亚翔集成,10.0
158,高压快充,BK1144,1564.21,16.52,1.07,788498096000,7.56,32,24,和顺石油,10.01
159,中芯概念,BK0935,1978.65,20.77,1.06,3559585008000,4.91,41,24,大唐电信,10.01
160,无人驾驶,BK0802,2406.38,24.94,1.05,7429200128000,5.1,151,111,勘设股份,9.98
161,旅游概念,BK0692,1875.92,19.51,1.05,468235248000,6.69,36,15,众信旅游,9.99
162,SPD概念,BK1147,1330.53,13.6,1.03,119168037000,8.74,5,8,华人健康,20.0
163,LED,BK0580,4507.7,44.45,1.0,1839770560000,5.06,64,29,兆驰股份,10.05
164,高带宽内存,BK1152,1663.67,16.26,0.99,1416954080000,4.74,21,4,拓荆科技,6.28
165,智慧灯杆,BK1069,1794.35,17.57,0.99,152386433000,5.41,15,10,时空科技,6.21
166,激光雷达,BK1002,2554.99,24.95,0.99,849348352000,6.34,28,14,光迅科技,10.0
167,消毒剂,BK0913,1785.44,17.18,0.97,780104720000,4.29,34,22,英科医疗,8.37
168,新型城镇化,BK1080,1181.15,11.25,0.96,531101664000,3.77,56,40,国晟科技,10.0
169,冰雪经济,BK1185,1171.29,10.85,0.93,359496960000,5.08,27,13,众信旅游,9.99
170,汽车芯片,BK0969,1511.29,13.85,0.92,1883588560000,5.17,42,25,兆驰股份,10.05
171,毛发医疗,BK0996,1066.37,9.67,0.92,129174875000,7.77,7,9,华邦健康,10.1
172,苹果概念,BK0666,4559.68,41.12,0.91,4462476032000,4.34,79,44,卓兆点胶,9.95
173,深圳特区,BK0549,41289.44,368.29,0.9,11473612544000,3.45,208,134,拓日新能,9.94
174,体育产业,BK0708,1638.77,14.45,0.89,924819600000,4.54,48,25,人民网,10.01
175,卫星互联网,BK0921,2660.34,23.35,0.89,1973825184000,10.07,37,37,三维通信,9.99
176,专精特新,BK1005,1745.22,15.3,0.88,11843441408000,6.32,687,509,三变科技,10.01
177,深股通,BK0804,1362.48,11.93,0.88,42577222144000,5.35,923,767,三维通信,9.99
178,存储芯片,BK1137,2261.41,19.66,0.88,3039525296000,6.74,63,27,帝科股份,11.81
179,复合集流体,BK1113,1374.78,11.81,0.87,361602752000,6.01,19,9,方邦股份,6.01
180,地热能,BK0622,4744.88,40.72,0.87,84950000000,4.91,2,5,开山股份,7.74
181,2025中报扭亏,BK1196,1169.25,9.96,0.86,2187475616000,5.44,104,84,利欧股份,9.97
182,创投,BK0506,19940.63,169.24,0.86,5738341376000,5.13,143,134,三维通信,9.99
183,第三代半导体,BK0952,2069.98,17.36,0.85,2551671792000,6.75,70,36,利欧股份,9.97
184,海绵城市,BK0724,1138.41,9.48,0.84,331882304000,3.56,15,18,利欧股份,9.97
185,天然气,BK0843,1761.61,14.59,0.84,5582247936000,1.62,62,61,常宝股份,9.99
186,共享经济,BK0807,1036.01,8.6,0.84,268104390000,3.95,10,8,博实结,6.63
187,培育钻石,BK1023,2205.24,17.83,0.82,222376829000,3.64,8,6,恒盛能源,6.26
188,电子后视镜,BK1125,1855.5,14.82,0.81,391368000000,4.03,19,6,秋田微,6.4
189,智能电网,BK0581,2284.74,17.84,0.79,2626171712000,7.56,90,93,三变科技,10.01
190,智能家居,BK0680,3315.46,25.51,0.78,4228840928000,4.22,102,57,比依股份,9.17
191,CRO,BK0899,2076.12,15.91,0.77,792043360000,6.14,14,25,诺思格,19.25
192,化债(AMC)概念,BK0980,1308.79,9.95,0.77,1208233536000,3.88,23,33,中国一重,10.0
193,汽车拆解,BK0943,1339.77,10.02,0.75,284299952000,3.98,6,11,交运股份,9.85
194,融资融券,BK0596,3366.48,24.9,0.75,119558778880000,2.93,1911,1784,三变科技,10.01
195,柔性屏(折叠屏),BK1160,1952.61,14.63,0.75,1545884448000,6.15,50,24,冠石科技,7.8
196,噪声防治,BK1082,1660.36,12.23,0.74,47893932000,4.02,4,4,天溯计量,7.31
197,养老概念,BK0653,3225.44,23.35,0.73,3470766816000,4.53,69,56,新里程,10.0
198,房屋检测,BK1179,1618.03,11.65,0.73,300716768000,6.46,22,15,深圳瑞捷,7.23
199,尾气治理,BK0932,2031.73,14.65,0.73,327692512000,5.5,16,18,艾可蓝,16.04
200,深成500,BK0568,1511.82,10.8,0.72,29694758144000,3.96,251,241,石基信息,9.97
201,雄安新区,BK0813,1115.38,8.02,0.72,2793312976000,4.26,72,73,金隅集团,9.86
202,QFII重仓,BK0535,23989.69,168.22,0.71,4758553088000,5.06,169,152,通达海,20.0
203,军工,BK0490,97398.73,687.53,0.71,7374577664000,7.41,212,203,博菲电气,10.0
204,快递概念,BK0990,1213.76,8.42,0.7,636922304000,2.81,21,20,德邦股份,9.97
205,草甘膦,BK0950,1778.64,12.37,0.7,196195295000,2.91,6,7,华邦健康,10.1
206,北斗导航,BK0629,9171.01,62.0,0.68,1555995376000,9.88,40,31,云鼎科技,10.02
207,并购重组概念,BK1181,1382.56,9.28,0.68,2683788576000,4.5,55,44,大唐电信,10.01
208,贬值受益,BK0812,1826.72,12.4,0.68,4157798000000,3.36,90,86,汉朔科技,20.0
209,荣耀概念,BK1177,2167.39,14.38,0.67,1274419680000,4.7,39,15,昂瑞微-UW,6.71
